X                                                                                ->    Y                                                                               	Std Lift            	Lift                	Confidence          	Interest            
Hypertriglyceridemia (disorder)                                                  ->    Metabolic syndrome X (disorder)                                                 	1.0000000000000002  	95.93955942730814   	0.9789846299610485  	0.9687804489557896  
Hypertriglyceridemia (disorder)                                                  ->    Hyperglycemia (disorder)                                                        	1.0000000000000002  	95.93955942730814   	0.46354879460995896 	0.45871711936174    
Hypertriglyceridemia (disorder)                                                  ->    Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)	1.0000000000000002  	95.93955942730814   	0.1540293715127908  	0.15242388809768823 
Diabetic retinopathy associated with type II diabetes mellitus (disorder)        ->    Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)	1.0000000000000002  	356.40589558075874  	0.5722037543996872  	0.5705982709845846  
Suspected lung cancer (situation)                                                ->    Non-small cell carcinoma of lung  TNM stage 1 (disorder)                        	1.0000000000000002  	485.49237530798433  	0.8488379836185657  	0.8470895772031609  
Non-small cell lung cancer (disorder)                                            ->    Non-small cell carcinoma of lung  TNM stage 1 (disorder)                        	1.0000000000000002  	571.7699788251903   	0.999686299113795   	0.9979378926983903  
Hypertriglyceridemia (disorder)                                                  ->    Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)        	1.0000000000000002  	95.93955942730814   	0.05646647015475313 	0.055877907204372516
Diabetic renal disease (disorder)                                                ->    Chronic kidney disease stage 2 (disorder)                                       	1.0000000000000002  	210.65731457135428  	0.13620734491028344 	0.13556076235421394 
Neoplasm of prostate                                                             ->    Metastasis from malignant tumor of prostate (disorder)                          	1.0000000000000002  	251.80075291842235  	0.16584927816536577 	0.16519062533671797 
Microalbuminuria due to type 2 diabetes mellitus (disorder)                      ->    Chronic kidney disease stage 2 (disorder)                                       	1.0000000000000002  	1499.8228759514504  	0.9697593087842008  	0.9691127262281313  
Diabetic renal disease (disorder)                                                ->    Microalbuminuria due to type 2 diabetes mellitus (disorder)                     	1.0000000000000002  	210.65731457135428  	0.1404547949955214  	0.13978804959775862 
Hypertriglyceridemia (disorder)                                                  ->    Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder)  	1.0000000000000002  	95.93955942730814   	0.039938414569954735	0.0395221273281917  
Fetus with unknown complication                                                  ->    Normal pregnancy                                                                	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
History of cardiac arrest (situation)                                            ->    Cardiac Arrest                                                                  	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
Hyperglycemia (disorder)                                                         ->    Diabetes                                                                        	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
Chronic kidney disease stage 1 (disorder)                                        ->    Diabetic renal disease (disorder)                                               	1.0                 	210.65731457135425  	1.0                 	0.9952529538220175  
Cardiac Arrest                                                                   ->    History of cardiac arrest (situation)                                           	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
Neuropathy due to type 2 diabetes mellitus (disorder)                            ->    Diabetes                                                                        	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
Hyperglycemia (disorder)                                                         ->    Metabolic syndrome X (disorder)                                                 	1.0                 	97.99904563478728   	1.0                 	0.9897958189947411  
History of appendectomy                                                          ->    Appendicitis                                                                    	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
Seizure disorder                                                                 ->    History of single seizure (situation)                                           	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
Diabetic renal disease (disorder)                                                ->    Diabetes                                                                        	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
Appendicitis                                                                     ->    History of appendectomy                                                         	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
Metabolic syndrome X (disorder)                                                  ->    Hypertriglyceridemia (disorder)                                                 	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
Hyperglycemia (disorder)                                                         ->    Hypertriglyceridemia (disorder)                                                 	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
Metabolic syndrome X (disorder)                                                  ->    Hyperglycemia (disorder)                                                        	1.0                 	97.99904563478728   	0.4734995631426843  	0.46866788789446534 
History of single seizure (situation)                                            ->    Seizure disorder                                                                	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
Normal pregnancy                                                                 ->    Fetus with unknown complication                                                 	1.0                 	35.49656263693461   	0.175193534251911   	0.17025802722708094 
Fetus with unknown complication                                                  ->    Miscarriage in first trimester                                                  	1.0                 	36.111221730214865  	1.0                 	0.9723077771372304  
Chronic kidney disease stage 1 (disorder)                                        ->    Diabetes                                                                        	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
Diabetic renal disease (disorder)                                                ->    Chronic kidney disease stage 1 (disorder)                                       	1.0                 	210.65731457135425  	0.933890028605276   	0.9294568095143294  
Miscarriage in first trimester                                                   ->    Fetus with unknown complication                                                 	1.0                 	36.111221730214865  	0.17822718852467137 	0.1732916814998413  
Normal pregnancy                                                                 ->    Antepartum eclampsia                                                            	1.0                 	35.49656263693461   	0.11070646087930279 	0.10758766703969559 
Diabetic retinopathy associated with type II diabetes mellitus (disorder)        ->    Diabetes                                                                        	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
Recurrent rectal polyp                                                           ->    Polyp of colon                                                                  	1.0                 	85.18395317045814   	1.0                 	0.9882606997822825  
Blighted ovum                                                                    ->    Miscarriage in first trimester                                                  	1.0                 	36.111221730214865  	1.0                 	0.9723077771372304  
Preeclampsia                                                                     ->    Normal pregnancy                                                                	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
Blighted ovum                                                                    ->    Normal pregnancy                                                                	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
Normal pregnancy                                                                 ->    Preeclampsia                                                                    	1.0                 	35.49656263693461   	0.11178246263206583 	0.10863335594882448 
Normal pregnancy                                                                 ->    Blighted ovum                                                                   	1.0                 	35.49656263693461   	0.0870198159598812  	0.08456831616679036 
Antepartum eclampsia                                                             ->    Normal pregnancy                                                                	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
Tubal pregnancy                                                                  ->    Miscarriage in first trimester                                                  	1.0                 	36.111221730214865  	1.0                 	0.9723077771372304  
Miscarriage in first trimester                                                   ->    Tubal pregnancy                                                                 	1.0                 	36.111221730214865  	0.1277056277056277  	0.12416917500237358 
Miscarriage in first trimester                                                   ->    Blighted ovum                                                                   	1.0                 	36.111221730214865  	0.08852665259987914 	0.0860751528067883  
History of single seizure (situation)                                            ->    Epilepsy                                                                        	1.0                 	170.76895509802543  	0.5235518703300307  	0.520486021095142   
Epilepsy                                                                         ->    History of single seizure (situation)                                           	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
Seizure disorder                                                                 ->    Epilepsy                                                                        	1.0                 	170.76895509802543  	0.5235518703300307  	0.520486021095142   
Myocardial Infarction                                                            ->    History of myocardial infarction (situation)                                    	1.0                 	295.5025535019455   	1.0                 	0.996615934488047   
Carcinoma in situ of prostate (disorder)                                         ->    Neoplasm of prostate                                                            	1.0                 	251.80075291842232  	1.0                 	0.9960286059973619  
Diabetes                                                                         ->    Diabetic retinopathy associated with type II diabetes mellitus (disorder)       	1.0                 	94.30883760639537   	0.26461076759889274 	0.26180497787319107 
Epilepsy                                                                         ->    Seizure disorder                                                                	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
Neoplasm of prostate                                                             ->    Carcinoma in situ of prostate (disorder)                                        	1.0                 	251.80075291842232  	0.9101678524556193  	0.906553217304983   
History of myocardial infarction (situation)                                     ->    Myocardial Infarction                                                           	1.0                 	295.5025535019455   	1.0                 	0.996615934488047   
Rupture of appendix                                                              ->    Appendicitis                                                                    	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
Diabetes                                                                         ->    Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)	1.0                 	94.30883760639537   	0.1514112746746695  	0.14980579125956692 
History of appendectomy                                                          ->    Rupture of appendix                                                             	1.0                 	135.1795561159216   	0.2985741568242078  	0.2963654341045669  
Suspected lung cancer (situation)                                                ->    Non-small cell lung cancer (disorder)                                           	1.0                 	485.4923753079843   	0.8491043484051408  	0.8473553933409825  
