X, Y                                     ->    Z              	Std Lift            	Lift                	Confidence          	Interest            
410429000           271737000            ->    429007001      	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
444814009           74400008             ->    428251008      	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
431855005           44054006             ->    127013003      	1.0                 	210.65731457135425  	1.0                 	0.9952529538220175  
444814009           156073000            ->    19169002       	1.0                 	36.111221730214865  	1.0                 	0.9723077771372304  
302870006           80394007             ->    237602007      	1.0                 	97.99904563478728   	1.0                 	0.9897958189947411  
127013003           59621000             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
368581000119106     444814009            ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
127013003           10509002             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
195662009           128613002            ->    703151001      	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
428251008           40055000             ->    74400008       	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
422034002           80394007             ->    237602007      	1.0                 	97.99904563478728   	1.0                 	0.9897958189947411  
422034002           237602007            ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
80394007            44054006             ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
195662009           79586000             ->    19169002       	1.0                 	36.111221730214865  	1.0                 	0.9723077771372304  
162864005           128613002            ->    703151001      	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
713197008           444814009            ->    68496003       	1.0                 	85.18395317045814   	1.0                 	0.9882606997822825  
1551000119108       237602007            ->    422034002      	1.0                 	356.4058955807587   	1.0                 	0.9971942102742983  
237602007           44054006             ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
444814009           422034002            ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
422034002           80394007             ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
80394007            59621000             ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
429007001           162864005            ->    410429000      	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
444814009           127013003            ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
74400008            40055000             ->    428251008      	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
399211009           53741008             ->    22298006       	1.0                 	295.5025535019455   	1.0                 	0.996615934488047   
444814009           79586000             ->    19169002       	1.0                 	36.111221730214865  	1.0                 	0.9723077771372304  
368581000119106     10509002             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
162864005           80394007             ->    237602007      	1.0                 	97.99904563478728   	1.0                 	0.9897958189947411  
79586000            15777000             ->    19169002       	1.0                 	36.111221730214865  	1.0                 	0.9723077771372304  
368581000119106     80394007             ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
424132000           254637007            ->    162573006      	1.0                 	485.4923753079843   	1.0                 	0.9979402354169504  
74400008            10509002             ->    428251008      	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
271737000           92691004             ->    126906006      	1.0                 	251.80075291842232  	1.0                 	0.9960286059973619  
271737000           128613002            ->    703151001      	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
410429000           162864005            ->    429007001      	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
368581000119106     15777000             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
195662009           156073000            ->    72892002       	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
713197008           162864005            ->    68496003       	1.0                 	85.18395317045814   	1.0                 	0.9882606997822825  
302870006           80394007             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
80394007            59621000             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
271737000           156073000            ->    72892002       	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
156073000           72892002             ->    19169002       	1.0                 	36.111221730214865  	1.0                 	0.9723077771372304  
428251008           162864005            ->    74400008       	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
431855005           195662009            ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
80394007            44054006             ->    237602007      	1.0                 	97.99904563478728   	1.0                 	0.9897958189947411  
368581000119106     302870006            ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
74400008            15777000             ->    428251008      	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
410429000           10509002             ->    429007001      	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
431855005           10509002             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
424132000           162573006            ->    254637007      	1.0                 	571.7699788251902   	1.0                 	0.9982510449358417  
713197008           10509002             ->    68496003       	1.0                 	85.18395317045814   	1.0                 	0.9882606997822825  
444814009           35999006             ->    19169002       	1.0                 	36.111221730214865  	1.0                 	0.9723077771372304  
271737000           80394007             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
428251008           195662009            ->    74400008       	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
80394007            59621000             ->    237602007      	1.0                 	97.99904563478728   	1.0                 	0.9897958189947411  
156073000           19169002             ->    72892002       	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
35999006            19169002             ->    72892002       	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
195662009           80394007             ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
428251008           271737000            ->    74400008       	1.0                 	135.1795561159216   	1.0                 	0.9926024316935731  
429007001           15777000             ->    410429000      	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
713197008           195662009            ->    68496003       	1.0                 	85.18395317045814   	1.0                 	0.9882606997822825  
156073000           10509002             ->    72892002       	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
92691004            10509002             ->    126906006      	1.0                 	251.80075291842232  	1.0                 	0.9960286059973619  
237602007           162864005            ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
444814009           429007001            ->    410429000      	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
195662009           127013003            ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
80394007            10509002             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
703151001           15777000             ->    128613002      	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
195662009           80394007             ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
162864005           80394007             ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
410429000           195662009            ->    429007001      	1.0                 	168.9329425122228   	1.0                 	0.9940804914356616  
237602007           127013003            ->    302870006      	1.0                 	95.93955942730813   	1.0                 	0.9895767709798826  
162864005           156073000            ->    72892002       	1.0                 	35.49656263693461   	1.0                 	0.9718282581266197  
368581000119106     271737000            ->    44054006       	1.0                 	94.30883760639537   	1.0                 	0.9893965398643384  
703151001           195662009            ->    128613002      	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
444814009           22298006             ->    399211009      	1.0                 	295.5025535019455   	1.0                 	0.996615934488047   
128613002           10509002             ->    703151001      	1.0                 	170.76895509802543  	1.0                 	0.9941441346910744  
